profile,source_url,original,raw_normalized,research_area_normalized,matched_candidate_terms,matched_sources,matched_cuis,has_umls_match,final_output,final_output_simplified,final_output_simplified_cleaned,research_tag_publishable
Adrianna Giuffre,https://profiles.ucalgary.ca/adrianna-giuffre,clinical outcomes,clinical outcomes,Clinical Trials | Nutrition outcomes | Expected outcomes | R-Outcomes | Elimination outcomes,clinical outcomes,MTH,C0008976 | C0518896 | C2963499 | C5445044 | C0518891,yes,Clinical Trials | Nutrition outcomes | Expected outcomes | R-Outcomes | Elimination outcomes,clinical outcomes,Clinical Outcomes,Clinical Outcomes
Adrianna Giuffre,https://profiles.ucalgary.ca/adrianna-giuffre,stroke,stroke,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,stroke,MTH | MSH,C0018843 | C0948008 | C5234922 | C0262469,yes,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,Heat Stroke,Stroke,Stroke
Adrianna Giuffre,https://profiles.ucalgary.ca/adrianna-giuffre,depression,depression,"Mental Depression | Depressive disorder | Reactive depression | Depression, Postpartum",depression,MTH | MSH,C0011570 | C0011581 | C0011579 | C0221074,yes,"Mental Depression | Depressive disorder | Reactive depression | Depression, Postpartum",Mental Depression,Mental Depression,Mental Depression
Adrianna Giuffre,https://profiles.ucalgary.ca/adrianna-giuffre,individuals with neurological conditions,individuals with neurological conditions,Neurological Rehabilitation | Neurological observations | Precancerous Conditions | Nutrition skill of supportive individuals | Nutrition knowledge of supportive individuals,neurological conditions,MTH | SNOMEDCT_US,C0204096 | C0422837 | C0032927 | C5191782 | C5191783,yes,Neurological Rehabilitation | Neurological observations | Precancerous Conditions | Nutrition skill of supportive individuals | Nutrition knowledge of supportive individuals,individuals with neurological conditions,Individuals With Neurological Conditions,Individuals With Neurological Conditions
Adrianna Giuffre,https://profiles.ucalgary.ca/adrianna-giuffre,development of psychiatric disorders in children,development of psychiatric disorders in children,Pervasive Development Disorder | Psychosexual Development | Psychiatric symptom | Deglutition Disorders | Migraine Disorders,,MTH,C0524528 | C0033944 | C0233401 | C0011168 | C0149931,yes,Pervasive Development Disorder | Psychosexual Development | Psychiatric symptom | Deglutition Disorders | Migraine Disorders,Pervasive Development Disorder,Development Disorder,Development Disorder
Alan McLuckie,https://profiles.ucalgary.ca/alan-mcluckie,youth mental health,youth mental health,mental health | Mental health treatment,mental health,MTH | SNOMEDCT_US,C0025353 | C0184647,yes,mental health | Mental health treatment,mental health,Mental Health,Mental Health
Alan McLuckie,https://profiles.ucalgary.ca/alan-mcluckie,neurodevelopmental and learning difficulties,neurodevelopmental and learning difficulties,Learning difficulties,learning difficulties,SNOMEDCT_US,C0424939,yes,Learning difficulties,Learning difficulties,Learning Difficulties,Learning Difficulties
Alan McLuckie,https://profiles.ucalgary.ca/alan-mcluckie,vulnerable family coping,vulnerable family coping,Ineffective family coping | Ineffective family coping: compromised | Vulnerable child in family | Ineffective family coping: disabling | Effective family coping behavior,vulnerable family | family coping,MTH | SNOMEDCT_US,C0150027 | C4281561 | C0585081 | C0150028 | C5545605,yes,Ineffective family coping | Ineffective family coping: compromised | Vulnerable child in family | Ineffective family coping: disabling | Effective family coping behavior,Ineffective family coping,Family Coping,Family Coping
Alan McLuckie,https://profiles.ucalgary.ca/alan-mcluckie,school-based mental health,school-based mental health,Play-based Mental Health Intervention,school-based mental health | school based mental | based mental health | school based,MSH,C5691412,yes,Play-based Mental Health Intervention,school-based mental health,School Based Mental Health,School Based Mental Health
Aleksandra Mineyko,https://profiles.ucalgary.ca/aleksandra-mineyko,inflammation,inflammation,Inflammation | Ear Inflammation | Bubo Inflammation | Gummatous inflammation | Eosinophilic inflammation,inflammation,MTH | SNOMEDCT_US,C0021368 | C0029877 | C0221382 | C0333422 | C3687252,yes,Inflammation | Ear Inflammation | Bubo Inflammation | Gummatous inflammation | Eosinophilic inflammation,Inflammation,Inflammation,Inflammation
Aleksandra Mineyko,https://profiles.ucalgary.ca/aleksandra-mineyko,stroke,stroke,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,stroke,MTH | MSH,C0018843 | C0948008 | C5234922 | C0262469,yes,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,Heat Stroke,Stroke,Stroke
Aleksandra Mineyko,https://profiles.ucalgary.ca/aleksandra-mineyko,migraine,migraine,Migraine Disorders | Common Migraine | Abdominal Migraine | Ophthalmoplegic Migraine | Hemiplegic migraine,migraine,MTH | MSH | SNOMEDCT_US,C0149931 | C0338480 | C0270858 | C0221058 | C0270862,yes,Migraine Disorders | Common Migraine | Abdominal Migraine | Ophthalmoplegic Migraine | Hemiplegic migraine,Migraine Disorders,Migraine,Migraine
Aleksandra Mineyko,https://profiles.ucalgary.ca/aleksandra-mineyko,inflammation in neurological diseases of childhood,inflammation in neurological diseases of childhood,Inflammation associated with neurological device,inflammation neurological,SNOMEDCT_US,C3532571,yes,Inflammation associated with neurological device,Inflammation associated with neurological device,Inflammation Associated With Neurological,Inflammation Associated With Neurological
Aleksandra Mineyko,https://profiles.ucalgary.ca/aleksandra-mineyko,pediatric neurology,pediatric neurology,Pediatric Obesity,pediatric neurology,MTH,C2362324,yes,Pediatric Obesity,pediatric neurology,Pediatric Neurology,Pediatric Neurology
Alexander McGirr,https://profiles.ucalgary.ca/alexander-mcgirr,mental health,mental health,mental health | Mental health treatment,mental health,MTH | SNOMEDCT_US,C0025353 | C0184647,yes,mental health | Mental health treatment,mental health,Mental Health,Mental Health
Alexander McGirr,https://profiles.ucalgary.ca/alexander-mcgirr,stress,stress,Stress | Urinary Stress Incontinence | Stress Fractures | Stress polycythemia,stress,MTH,C0038435 | C0042025 | C0016664 | C0541719,yes,Stress | Urinary Stress Incontinence | Stress Fractures | Stress polycythemia,Stress,Stress,Stress
Alexander McGirr,https://profiles.ucalgary.ca/alexander-mcgirr,bipolar disorder,bipolar disorder,Bipolar Disorder | Bipolar Disorder Type 2 | Bipolar I disorder | Organic bipolar disorder | Mild bipolar disorder,bipolar disorder,MTH | MSH | SNOMEDCT_US,C0005586 | C0236788 | C0853193 | C0338653 | C0270419,yes,Bipolar Disorder | Bipolar Disorder Type 2 | Bipolar I disorder | Organic bipolar disorder | Mild bipolar disorder,Bipolar Disorder,Bipolar Disorder,Bipolar Disorder
Alexander McGirr,https://profiles.ucalgary.ca/alexander-mcgirr,mood disorders,mood disorders,Mood Disorders | Psychotic Mood Disorders | Organic mood disorder | Bipolar Disorder,mood disorders,MSH | SNOMEDCT_US | MTH,C0525045 | C0086640 | C0029232 | C0005586,yes,Mood Disorders | Psychotic Mood Disorders | Organic mood disorder | Bipolar Disorder,Mood Disorders,Mood Disorders,Mood Disorders
Alexander McGirr,https://profiles.ucalgary.ca/alexander-mcgirr,such as major depressive disorder,such as major depressive disorder,Major Depressive Disorder | Major Depressive Disorder 2 | Major Depressive Disorder 1 | Major depressive disorder in mother complicating pregnancy,major depressive disorder,MTH | MSH | SNOMEDCT_US,C1269683 | C1837529 | C1837929 | C3839814,yes,Major Depressive Disorder | Major Depressive Disorder 2 | Major Depressive Disorder 1 | Major depressive disorder in mother complicating pregnancy,Major Depressive Disorder,Major Depressive Disorder,Major Depressive Disorder
Alex Lohman,https://profiles.ucalgary.ca/alex-lohman,brain injury,brain injury,"Brain Injuries | Traumatic Brain Injury | Brain Injury, Chronic | Crush injury of brain | Injury of parenchyma of brain",brain injury,MTH | MSH | SNOMEDCT_US,C0270611 | C0876926 | C0751813 | C4303411 | C5880441,yes,"Brain Injuries | Traumatic Brain Injury | Brain Injury, Chronic | Crush injury of brain | Injury of parenchyma of brain",Traumatic Brain Injury,Traumatic Brain Injury,Traumatic Brain Injury
Alex Lohman,https://profiles.ucalgary.ca/alex-lohman,inflammation,inflammation,Inflammation | Ear Inflammation | Bubo Inflammation | Gummatous inflammation | Eosinophilic inflammation,inflammation,MTH | SNOMEDCT_US,C0021368 | C0029877 | C0221382 | C0333422 | C3687252,yes,Inflammation | Ear Inflammation | Bubo Inflammation | Gummatous inflammation | Eosinophilic inflammation,Inflammation,Inflammation,Inflammation
Alex Lohman,https://profiles.ucalgary.ca/alex-lohman,molecular mechanisms,molecular mechanisms,Molecular Mechanisms of Pharmacological Action,molecular mechanisms,MSH,C1258062,yes,Molecular Mechanisms of Pharmacological Action,Molecular Mechanisms of Pharmacological Action,Molecular Mechanisms,Molecular Mechanisms
Alex Lohman,https://profiles.ucalgary.ca/alex-lohman,stroke,stroke,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,stroke,MTH | MSH,C0018843 | C0948008 | C5234922 | C0262469,yes,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,Heat Stroke,Stroke,Stroke
Alex Lohman,https://profiles.ucalgary.ca/alex-lohman,tissue regeneration,tissue regeneration,"Guided Tissue Regeneration | Guided Tissue Regeneration, Periodontal",tissue regeneration,MTH,C0085147 | C1448477,yes,"Guided Tissue Regeneration | Guided Tissue Regeneration, Periodontal",Guided Tissue Regeneration,Tissue Regeneration,Tissue Regeneration
Alex Lohman,https://profiles.ucalgary.ca/alex-lohman,repetitive brain injuries,repetitive brain injuries,"Brain Injuries | Brain Injuries, Diffuse | Brain Injuries, Focal | Injuries, Acute Brain | Brain Injuries, Penetrating",brain injuries,MTH | MSH,C0270611 | C0433856 | C0452047 | C0085742 | C0751796,yes,"Brain Injuries | Brain Injuries, Diffuse | Brain Injuries, Focal | Injuries, Acute Brain | Brain Injuries, Penetrating",Brain Injuries,Brain Injuries,Brain Injuries
Alex Lohman,https://profiles.ucalgary.ca/alex-lohman,molecular biology,molecular biology,Molecular biology method | Molecular biology identification technique,molecular biology,SNOMEDCT_US,C0200924 | C0200925,yes,Molecular biology method | Molecular biology identification technique,Molecular biology method,Molecular Biology,Molecular Biology
Alex Lohman,https://profiles.ucalgary.ca/alex-lohman,chronic time points following injury,chronic time points following injury,"Pancreatitis, Chronic | Chronic pain | Alcoholic Intoxication, Chronic | Bronchitis, Chronic",,MTH | MSH,C0149521 | C0150055 | C0001973 | C0008677,yes,"Pancreatitis, Chronic | Chronic pain | Alcoholic Intoxication, Chronic | Bronchitis, Chronic",chronic time points following injury,Chronic Time Points Following Injury,
Alex Lohman,https://profiles.ucalgary.ca/alex-lohman,mild traumatic brain injury (concussion) in adolescence,mild traumatic brain injury concussion in adolescence,Mild Traumatic Brain Injury | Traumatic Brain Injury | Traumatic AND/OR non-traumatic brain injury | History of traumatic brain injury (situation) | History of concussion injury of brain | Brain injury with open intracranial wound AND concussion,mild traumatic brain | traumatic brain injury | brain injury concussion,MTH | SNOMEDCT_US,C3508472 | C0876926 | C1456496 | C5942876 | C4512032 | C0272944,yes,Mild Traumatic Brain Injury | Traumatic Brain Injury | Traumatic AND/OR non-traumatic brain injury | History of traumatic brain injury (situation) | History of concussion injury of brain | Brain injury with open intracranial wound AND concussion,Mild Traumatic Brain Injury,Mild Traumatic Brain Injury,Mild Traumatic Brain Injury
Alex Lohman,https://profiles.ucalgary.ca/alex-lohman,single cell rna sequencing,single cell rna sequencing,Single-Cell Analysis | single cell proteins,single cell rna | single cell,MSH,C0597452 | C0074562,yes,Single-Cell Analysis | single cell proteins,Single-Cell Analysis,Single Cell,Single Cell
Alex Lohman,https://profiles.ucalgary.ca/alex-lohman,inflammatory cytokine panels,inflammatory cytokine panels,Cytokines panel,inflammatory cytokine | cytokine panels,MTH,C4296796,yes,Cytokines panel,Cytokines panel,Cytokines Panel,Cytokines Panel
Alex Lohman,https://profiles.ucalgary.ca/alex-lohman,harmful neuroinflammation,harmful neuroinflammation,Neuroinflammation | Harmful thoughts | Dangerous and harmful thoughts,,MSH | SNOMEDCT_US,C5394393 | C0438698 | C0563168,yes,Neuroinflammation | Harmful thoughts | Dangerous and harmful thoughts,harmful neuroinflammation,Harmful Neuroinflammation,Harmful Neuroinflammation
Alex Lohman,https://profiles.ucalgary.ca/alex-lohman,optically-controlled genetically encoded proteins,optically-controlled genetically encoded proteins,"Controlled potassium, controlled sodium and controlled protein diet | Optic Neuritis | Optic Atrophy | controlled substance | Controlled Study",,SNOMEDCT_US | MTH,C0301599 | C0029134 | C0029124 | C0678485 | C0681867,yes,"Controlled potassium, controlled sodium and controlled protein diet | Optic Neuritis | Optic Atrophy | controlled substance | Controlled Study","Controlled potassium, controlled sodium and controlled protein diet",Controlled Controlled And Controlled Protein,
Alex Lohman,https://profiles.ucalgary.ca/alex-lohman,chronic neuroinflammatory pathologies,chronic neuroinflammatory pathologies,"Pancreatitis, Chronic | Chronic pain | Alcoholic Intoxication, Chronic | Bronchitis, Chronic | Neuroinflammatory Diseases",,MTH | MSH,C0149521 | C0150055 | C0001973 | C0008677 | C5544451,yes,"Pancreatitis, Chronic | Chronic pain | Alcoholic Intoxication, Chronic | Bronchitis, Chronic | Neuroinflammatory Diseases",chronic neuroinflammatory pathologies,Chronic Neuroinflammatory Pathologies,Chronic Neuroinflammatory Pathologies
Ali Golestani,https://profiles.ucalgary.ca/ali-golestani,functional mri,functional mri,MRI of brain with functional imaging,functional mri,SNOMEDCT_US,C0412677,yes,MRI of brain with functional imaging,MRI of brain with functional imaging,MRI Of Brain With Functional Imaging,MRI Of Brain With Functional Imaging
Ali Golestani,https://profiles.ucalgary.ca/ali-golestani,neuroimaging,neuroimaging,Neuroimaging | Functional Neuroimaging,neuroimaging,MTH | MSH,C0679575 | C3178877,yes,Neuroimaging | Functional Neuroimaging,Neuroimaging,Neuroimaging,Neuroimaging
Ali Golestani,https://profiles.ucalgary.ca/ali-golestani,mri quality assurance,mri quality assurance,Lot Quality Assurance Sampling,mri quality assurance | mri quality | quality assurance,MSH,C2350573,yes,Lot Quality Assurance Sampling,Lot Quality Assurance Sampling,Quality Assurance,Quality Assurance
Ali Golestani,https://profiles.ucalgary.ca/ali-golestani,mri in radiation therapy,mri in radiation therapy,Radiation therapy (procedure) | Interstitial Radiation Therapy | Infrared radiation therapy,mri in radiation therapy | mri radiation therapy | mri radiation | radiation therapy,MTH,C1522449 | C1881237 | C0204032,yes,Radiation therapy (procedure) | Interstitial Radiation Therapy | Infrared radiation therapy,Infrared radiation therapy,Radiation Therapy,Radiation Therapy
